NAME,TOKEN_ADDRESS,SNAPSHOT_TIME,TRANSFER_COUNT,TRANSFER_AMOUNT,BUY_COUNT,BUY_AMOUNT,SELL_COUNT,SELL_AMOUNT,MINT_COUNT,MINT_AMOUNT,BURN_COUNT,BURN_AMOUNT,TOTAL_SUPPLY,HOLDER_COUNT,USD_PRICE,TVL
Mark,0x46a9a5b51f23f6adab4d74db426aa4e11b09e6f0,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,27,,
"Eiki Shiki, Yamaxanadu",0x4ebd901fae2b8fc37c26441df6a968168a089858,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,43,,
Cody,0x23d952dfbe1eb4fe90f206dd6588076cb3d6be53,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,41,,
Puppet Master,0xc127dc63f96ade4b28bc5838910736d8ab68c645,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,994025951.680725,748,,
Vainguard,0xe709c929f04044310f30490ab42812270bf299b4,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999537722.113128,119,,
Alice the Bully,0x016da9f8b561b10e0e7c3155dfefaf8a812ffe8c,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,99,,
A.O.D,0x9699f839e8e2ac06e21eb0d4eff85ef047647751,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,992873807.117685,679,,
Mark Davis,0xa3a81a9f9c05cf094b9dfa99e9738c451f28cfd1,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,999976167.575205,157,,
Misato,0x98f4779fccb177a6d856dd1dfd78cd15b7cd2af5,2025-04-01 08:00:00.000,4,6456.848989773,1,3244.647733555,0,0,0,0,0,0,998553604.990607,67426,0.0006137914814,93164.749700342
Stellaris,0xf24e6fdc85e2ad23884a47b908ef38befe48d01c,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,984444609.607324,85,,
azaelite,0x04e20ee22c6db2c5855d5f7b00690b8cdb83d3ee,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,2446,,
Baldashin,0x7e74e0e4d58b3b5ac68af071bbd411f554e0a516,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,334,,
papaya,0x19ec04bc440538974c801753fe41a47f30fc2ab0,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,22,,
Lucas,0x3377d5dd7ed8e8f21a675d2718eb3b434a6d1dcb,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,997365289.528541,38,,
0xMonk,0x06abb84958029468574b28b6e7792a770ccaa2f6,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,20643,,
Coinye West,0x0028e1e60167b48a938b785aa5292917e7eaca8b,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,0,100578,,
Agent YieldDefi,0x812f21e579da8121723c4893b38966c56f7795dd,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,1000000000,611,,
Bizonacci,0xb4f6e4455dce4557fd74055a4b4584c4b34968aa,2025-04-01 08:00:00.000,0,0,0,0,0,0,0,0,0,0,967928839.559031,79,,
